DBN,School Name,School Type,Most Recent Quality Review,Quality Review Rating,Progress Rating,Achievement Rating,Environment Rating,College and Career Readiness Rating,Closing the Achievement Gap Rating,Principal,Enrollment,% ELL,% Students with Disabilities,% Self-Contained,% Free Lunch,% Black or Hispanic,% Overage,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Other,Principal at Time of Quality Review,Quality Review: How interesting and challenging is the curriculum?,Quality Review: How effective is the teaching and learning?,Quality Review: How well does the school assess what students are learning?,Quality Review: How clearly are high expectations communicated to students and staff?,Quality Review: How well do teachers work with each other?,State Accountability,Teacher Attendance,Years of Principal Experience at This School,Shared Space,Average SAT Score
27Q324,Rockaway Park High School for Environmental Sustainability,High School,"February 28 - March 1, 2013",Proficient,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Jennifer Connolly,354,0.04,0.22,0.105,0.708,0.774,0.121,2.35,2.12,0.034,0.48,0.294,0.158,0.034,Jennifer Connolly,Proficient,Well Developed,Proficient,Proficient,Proficient,Good Standing,0.95,3,true,1154
27Q351,Rockaway Collegiate High School,High School,"February 11-12, 2014",Proficient,N/A,N/A,N/A,N/A,N/A,Robert Young Jr,312,0.058,0.228,0.122,0.718,0.917,0.103,2.28,2.04,0.038,0.554,0.353,0.032,0.022,Robert Young Jr.,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,3,true,
27Q400,August Martin High School,High School,"May 20-21, 2013",Developing,Not Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,"Smith, Gillian",853,0.059,0.243,0.147,0.625,0.906,0.166,2.2,2.05,0.077,0.797,0.107,0.007,0.012,Gillian Smith,Developing,Developing,Developing,Developing,Proficient,Priority,0.94,2,true,1125
27Q410,Beach Channel High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,David Morris,151,0.139,0.258,0.119,0.67,0.887,0.053,2.24,2.18,0.007,0.424,0.464,0.099,0.007,,N/A,N/A,N/A,N/A,N/A,Priority,0.97,11,false,1213
27Q475,Richmond Hill High School,High School,"March 19-21, 2014",Developing,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Neil Ganesh,2225,0.194,0.184,0.092,0.695,0.632,0.096,2.32,2.21,0.296,0.158,0.474,0.043,0.029,Neil Ganesh,Developing,Proficient,Developing,Proficient,Developing,Priority,0.96,1,false,1186
27Q480,John Adams High School,High School,"April 29-May 1-2, 2014",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Daniel Scanlon,2838,0.187,0.167,0.081,0.742,0.649,0.137,2.3,2.19,0.256,0.259,0.388,0.033,0.063,Daniel Scanlon,Proficient,Proficient,Proficient,Proficient,Proficient,Priority,0.96,2,true,1200
27Q650,"High School for Construction Trades, Engineering and Architecture",High School,"December 12-13, 2011",Proficient,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,N/A,Lakeisha Gordon,946,0.004,0.114,0.011,0.53,0.502,0.015,2.87,2.91,0.351,0.107,0.393,0.116,0.033,Lakeisha Gordon,Well Developed,Proficient,Proficient,Proficient,Proficient,Good Standing,0.96,4,true,1384
28Q157,J.H.S. 157 Stephen A. Halsey,High School,"December 13 & 14, 2011",Well Developed,N/A,N/A,N/A,N/A,N/A,Vincent Suraci,52,0.25,0.5,0.385,0.493,0.538,0.019,2.27,2.26,0.096,0.269,0.269,0.365,0,Vincent Suraci,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Good Standing,0.97,9,false,
28Q167,Metropolitan Expeditionary Learning School,High School,"March 11-12, 2013",Proficient,N/A,N/A,N/A,N/A,N/A,Damon Mccord,236,0.021,0.237,0.017,0.431,0.547,0.008,2.82,2.55,0.144,0.136,0.407,0.284,0.03,Damon Mccord And Patrick Finley,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Good Standing,0.98,4,true,
28Q284,York Early College Academy,High School,"January 9-10, 2012",Proficient,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,N/A,Deborah Burnett,317,0.003,0.091,0.006,0.603,0.722,0.022,2.92,2.76,0.252,0.621,0.098,0.006,0.022,Deborah Burnett,Well Developed,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,8,true,1358
28Q310,Queens Collegiate: A College Board School,High School,"November 25-26, 2013",Proficient,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Exceeding Target,Jaime Anne Dubei,397,0.096,0.144,0.05,0.684,0.718,0.04,2.47,2.27,0.247,0.514,0.202,0.033,0.005,Jaime Anne Dubei,Proficient,Proficient,Developing,Proficient,Developing,Good Standing,0.96,6,true,1250
28Q325,Hillside Arts & Letters Academy,High School,"March 4-5, 2013",Proficient,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Matthew C. Ritter,420,0.112,0.11,0.045,0.712,0.636,0.09,2.42,2.21,0.276,0.407,0.224,0.04,0.052,Matthew C. Ritter,Proficient,Proficient,Developing,Proficient,Proficient,Good Standing,0.98,4,true,1211
29Q494,"Law, Government and Community Service High School",High School,"May 5-6, 2012",Developing,N/A,N/A,N/A,N/A,N/A,Donna Delfyett White,277,0.047,0.22,0.123,0.596,0.946,0.134,2.24,2.05,0.04,0.809,0.137,0.004,0.011,Donna Delfyett-White,Developing,Developing,Developing,Developing,Developing,Good Standing,0.96,4,true,1228
28Q328,High School for Community Leadership,High School,"February 12-13, 2013",Proficient,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Carlos Borrero,357,0.21,0.154,0.062,0.793,0.739,0.129,2.3,2.18,0.216,0.459,0.28,0.028,0.017,Carlos Borrero,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.98,4,true,1245
28Q350,Jamaica Gateway to the Sciences,High School,"March 4-5, 2014",Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,N/A,Caren Birchwood Taylo,396,0.066,0.129,0.043,0.722,0.558,0.056,2.56,2.54,0.402,0.434,0.124,0.02,0.02,Caren Birchwood-Taylor,Proficient,Proficient,Proficient,Well Developed,Proficient,Reward,0.97,3,true,1296
28Q440,Forest Hills High School,High School,,N/A,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,Saul Gootnick,3800,0.074,0.145,0.073,0.528,0.414,0.03,2.87,2.8,0.255,0.092,0.322,0.316,0.015,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,6,false,1509
28Q470,Jamaica High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Enric Kendall,52,0.269,0.231,0.154,0.682,0.577,0.173,2.11,2.15,0.346,0.346,0.231,0.058,0.019,,N/A,N/A,N/A,N/A,N/A,Priority,0.94,2,false,1034
28Q505,Hillcrest High School,High School,"May 13-15, 2014",Proficient,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,David Morrison,3231,0.142,0.12,0.05,0.745,0.581,0.075,2.48,2.36,0.37,0.321,0.256,0.034,0.019,David Morrison,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Good Standing,0.96,0,false,1288
28Q620,Thomas A. Edison Career and Technical Education High School,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,N/A,Moses Ojeda,2168,0.013,0.128,0.069,0.63,0.436,0.023,2.86,2.88,0.5,0.219,0.216,0.038,0.027,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,2,true,1395
28Q680,Queens Gateway to Health Sciences Secondary School,High School,"November 13-14, 2013",Well Developed,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,N/A,Judy Henry,502,0.002,0.042,0.012,0.567,0.576,0.004,3.36,3.01,0.384,0.416,0.159,0.032,0.008,Judy A. Henry,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Reward,0.96,2,true,1536
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,High School,"May 7 – 8, 2013",Proficient,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Gregory Dutton,1139,0.034,0.179,0.053,0.486,0.486,0.022,2.63,2.47,0.113,0.038,0.441,0.376,0.032,Gregory Dutton,Proficient,Proficient,Well Developed,Well Developed,Proficient,Good Standing,0.97,2,true,1366
28Q687,Queens High School for the Sciences at York College,High School,,N/A,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,Lenneen Gibson,419,0,0.01,0,0.373,0.177,0.005,3.74,3.96,0.749,0.072,0.103,0.067,0.01,,N/A,N/A,N/A,N/A,N/A,Reward,0.96,1,false,1951
28Q690,High School for Law Enforcement and Public Safety,High School,"January 15 – 16, 2013",Developing,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Laura Van Deren,565,0.023,0.212,0.115,0.66,0.85,0.046,2.48,2.28,0.11,0.664,0.186,0.011,0.03,Diahann E. Malcolm,Developing,Developing,Developing,Proficient,Developing,Good Standing,0.96,1,true,1200
28Q896,"Young Women's Leadership School, Queens",High School,"March 12-13, 2014",Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,N/A,Mala Panday,322,0.016,0.161,0.022,0.581,0.724,0.019,2.62,2.36,0.217,0.522,0.202,0.025,0.034,Mala Panday,Proficient,Developing,Developing,Well Developed,Developing,Good Standing,0.96,1,false,1336
29Q243,Institute for Health Professions at Cambria Heights,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Gareth Robinson,82,0.073,0.122,0.049,0.59,0.878,0.049,2.51,2.29,0.098,0.768,0.11,0.024,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.95,1,true,
29Q248,Queens Preparatory Academy,High School,,N/A,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Tashon Haywood,465,0.043,0.155,0.075,0.635,0.908,0.123,2.35,2.21,0.052,0.822,0.084,0.002,0.041,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,9,true,1204
29Q259,Pathways College Preparatory School: A College Board School,High School,2014-05-15T00:00:00.000,Developing,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Kimberly Mitchell,348,0.032,0.178,0.072,0.574,0.954,0.046,2.41,2.14,0.026,0.914,0.04,0.014,0.006,Kimberly Mitchell,Developing,Developing,Developing,Proficient,Developing,Local Assistance Plan,0.96,4,true,
29Q265,Excelsior Preparatory High School,High School,,N/A,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Lilly Narine Lucas,480,0.048,0.194,0.071,0.671,0.933,0.085,2.32,2.11,0.04,0.833,0.1,0.006,0.021,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.94,4,true,1213
29Q272,George Washington Carver High School for the Sciences,High School,"February 10-11, 2014",Proficient,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,Dr. Janice M. Sutton,498,0.024,0.12,0.044,0.563,0.845,0.078,2.58,2.4,0.1,0.717,0.129,0.026,0.028,Dr. Janice M. Sutton,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.95,10,true,1338
29Q283,Preparatory Academy for Writers: A College Board School,High School,"December 13-14, 2013",Well Developed,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Charles Anderson,342,0.015,0.184,0.053,0.622,0.901,0.073,2.61,2.24,0.041,0.787,0.114,0.02,0.038,Charles Anderson,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Good Standing,0.96,5,true,1230
29Q326,Cambria Heights Academy,High School,"Dec 11 -12, 2012",Proficient,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Melissa Menake,336,0.027,0.217,0.054,0.603,0.902,0.071,2.36,2.14,0.057,0.81,0.092,0.024,0.018,Melissa Menake,Proficient,Proficient,Proficient,Proficient,Developing,Good Standing,0.97,4,false,1200
29Q327,Eagle Academy for Young Men III,High School,"February 11 – 12, 2013",Proficient,N/A,N/A,N/A,N/A,N/A,Kenyatte Reid,80,0,0.238,0.063,0.544,0.938,0.013,2.49,2.19,0,0.9,0.038,0.013,0.05,Kenyatte Reid,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.99,4,false,
29Q492,"Mathematics, Science Research and Technology Magnet High School",High School,"May 1-2, 2013",Proficient,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Not Meeting Target,Jose Cruz,416,0.06,0.123,0.07,0.585,0.88,0.115,2.35,2.28,0.077,0.774,0.106,0.019,0.024,Jose Cruz,Proficient,Proficient,Proficient,Proficient,Proficient,Good Standing,0.97,5,true,1255
29Q496,"Business, Computer Applications & Entrepreneurship  High School",High School,"March 20-21, 2012",Developing,N/A,N/A,N/A,N/A,N/A,Lynne Callender,211,0.128,0.251,0.161,0.636,0.929,0.227,2.11,1.96,0.047,0.853,0.076,0.014,0.009,Dr. Herman Guy,Developing,Developing,Developing,Proficient,Developing,Focus,0.88,2,true,1079
29Q498,Humanities & Arts Magnet High School,High School,"January 6-7, 2014",Proficient,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Rosemarie Omard,513,0.031,0.201,0.08,0.584,0.924,0.062,2.33,2.12,0.062,0.801,0.123,0.008,0.006,Rosemarie O’Mard,Proficient,Developing,Proficient,Proficient,Proficient,Good Standing,0.95,5,true,1209
30Q258,Energy Tech High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Hope Barter,119,0.067,0.21,0.084,0.6,0.521,0.017,2.48,2.49,0.218,0.109,0.412,0.134,0.126,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,1,true,
30Q286,"Young Women's Leadership School, Astoria",High School,,N/A,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,N/A,Laura Mitchell,318,0.038,0.104,0.016,0.711,0.409,0.031,2.85,2.69,0.399,0.044,0.365,0.192,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,0,false,1395
30Q301,Academy for Careers in Television and Film,High School,"May 6-7, 2014",Well Developed,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Edgar Rodriguez,470,0.026,0.217,0.03,0.555,0.74,0.021,2.64,2.36,0.057,0.174,0.562,0.196,0.011,Edgar Rodriguez,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Good Standing,0.98,1,true,1276
30Q445,William Cullen Bryant High School,High School,2012-12-10T00:00:00.000,Developing,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,Namita Dwarka,2627,0.167,0.15,0.083,0.614,0.555,0.099,2.44,2.44,0.274,0.063,0.492,0.164,0.006,Namita Dwarka,Developing,Developing,Developing,Proficient,Developing,Local Assistance Plan,0.96,3,false,1331
30Q450,Long Island City High School,High School,"April 7-9, 2014",Well Developed,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Vivian Selenikas,2522,0.13,0.181,0.09,0.66,0.739,0.075,2.4,2.37,0.152,0.117,0.621,0.101,0.008,Vivian Selenikas,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Priority,0.95,2,true,1309
30Q501,Frank Sinatra School of the Arts High School,High School,,N/A,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,Donna Finn,756,0.004,0.065,0.011,0.255,0.451,0.001,3.39,3.1,0.091,0.152,0.294,0.451,0.012,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,10,true,1609
30Q502,Information Technology High School,High School,"November 19-20, 2013",Developing,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Joseph Reed,920,0.107,0.173,0.063,0.712,0.741,0.048,2.44,2.43,0.161,0.162,0.579,0.088,0.01,Joseph Reed,Proficient,Developing,Developing,Proficient,Proficient,Good Standing,0.95,2,true,1304
30Q555,Newcomers High School,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Orlando Sarmiento,929,0.871,0.011,0.001,0.81,0.543,0.377,1.71,2.28,0.403,0.033,0.509,0.052,0.003,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,5,true,1191
30Q575,Academy of American Studies,High School,"March 17-18, 2014",Proficient,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,N/A,William Bassell,810,0.033,0.112,0.023,0.571,0.44,0.012,2.95,2.91,0.301,0.081,0.354,0.258,0.005,William Bassell,Well Developed,Proficient,Proficient,Well Developed,Proficient,Good Standing,0.96,3,true,1515
30Q580,Baccalaureate School for Global Education,High School,"January 23-24, 2014",Proficient,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,N/A,Kelly Joan Johnson,308,0,0.01,0.006,0.331,0.279,0,3.68,3.47,0.39,0.029,0.25,0.325,0.006,Kelly Johnson,Proficient,Developing,Proficient,Well Developed,Developing,Good Standing,0.97,7,false,1845
31R047,CSI High School for International Studies,High School,,N/A,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,Joseph Canale,527,0.004,0.184,0.036,0.295,0.309,0.008,2.86,2.68,0.116,0.116,0.194,0.569,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,4,true,1442
31R064,Gaynor McCown Expeditionary Learning School,High School,"February 25-26, 2014",Proficient,Meeting Target,Meeting Target,Approaching Target,Approaching Target,N/A,Traci Frey,467,0.004,0.293,0.047,0.364,0.334,0.006,2.66,2.4,0.032,0.146,0.178,0.619,0.026,Traci Frey,Developing,Proficient,Proficient,Proficient,Proficient,Good Standing,0.96,5,true,1284
31R080,The Michael J. Petrides School,High School,"May 7-8, 2013",Well Developed,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Joanne Buckheit,462,0.011,0.221,0.056,0.373,0.418,0.009,2.76,2.56,0.065,0.212,0.206,0.515,0.002,Joanne Buckheit,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.98,10,true,1508
31R440,New Dorp High School,High School,"December 5-7, 2011",Well Developed,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Ms. Deirdre Deangelis,2734,0.048,0.234,0.097,0.494,0.398,0.045,2.5,2.3,0.075,0.117,0.279,0.523,0.005,Deirdre Deangelis,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Good Standing,0.96,15,true,1312
31R445,Port Richmond High School,High School,"December 18-20, 2013",Proficient,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Timothy M. Gannon,1794,0.055,0.289,0.14,0.561,0.71,0.074,2.35,2.16,0.067,0.29,0.416,0.221,0.005,Timothy Gannon,Proficient,Proficient,Proficient,Proficient,Proficient,Local Assistance Plan,0.96,9,true,1302
31R450,Curtis High School,High School,"November 19-21, 2013",Well Developed,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Aurelia Curtis,2396,0.058,0.21,0.105,0.603,0.721,0.066,2.48,2.26,0.072,0.385,0.336,0.202,0.005,Aurelia Curtis,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Local Assistance Plan,0.96,11,true,1357
31R455,Tottenville High School,High School,"April 23, 24 and 25, 2012",Well Developed,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,William Dugan,3957,0.01,0.192,0.056,0.22,0.128,0.012,2.82,2.68,0.046,0.02,0.107,0.817,0.01,John Tuminaro,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Good Standing,0.96,1,true,1465
31R460,Susan E. Wagner High School,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Mr. Gary M. Giordano,3461,0.032,0.224,0.123,0.429,0.374,0.035,2.75,2.57,0.133,0.114,0.258,0.488,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,12,true,1454
31R600,Ralph R. McKee Career and Technical Education High School,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Sharon Alicia Henry,632,0.028,0.293,0.109,0.569,0.739,0.057,2.36,2.17,0.051,0.332,0.407,0.207,0.003,,N/A,N/A,N/A,N/A,N/A,Local Assistance Plan,0.96,7,true,1292
31R605,Staten Island Technical High School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Mark Erlenwein,1235,0.002,0.017,0.001,0.203,0.066,0.001,3.83,3.91,0.361,0.011,0.054,0.568,0.006,,N/A,N/A,N/A,N/A,N/A,Reward,0.96,1,false,2017
32K168,The Brooklyn School for Math and Research,High School,"October 22-23, 2013",Proficient,N/A,N/A,N/A,N/A,N/A,Perry Rainey,203,0.123,0.182,0.094,0.808,0.941,0.084,2.33,2.32,0.02,0.527,0.414,0.025,0.015,Dr. Perry Rainey,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Good Standing,0.98,3,true,
32K403,Academy for Environmental Leadership,High School,,N/A,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Nilda Gomez-Katz,352,0.386,0.244,0.119,0.887,0.963,0.139,2.1,2.05,0.014,0.173,0.79,0.017,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,8,true,1064
32K545,EBC High School for Public Service - Bushwick,High School,"January 7 – 8, 2013",Developing,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Shawn Brown,513,0.187,0.207,0.09,0.898,0.977,0.074,2.14,2.09,0.008,0.09,0.887,0.008,0.008,Shawn Brown,Developing,Developing,Developing,Proficient,Developing,Focus,0.94,3,false,1119
32K549,Bushwick School for Social Justice,High School,"December 5-6, 2013",Proficient,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Lucas Cooke,416,0.161,0.226,0.091,0.751,0.981,0.113,2.19,2.05,0.002,0.228,0.752,0.01,0.007,Lucas Cooke,Proficient,Proficient,Developing,Proficient,Proficient,Good Standing,0.96,2,true,1076
32K552,Academy of Urban Planning,High School,"February 11-12, 2014",Proficient,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Kyleema Norman,313,0.288,0.291,0.22,0.805,0.968,0.179,2.07,2,0.016,0.281,0.687,0.006,0.01,Kyleema Norman,Proficient,Proficient,Developing,Proficient,Well Developed,Focus,0.98,1,true,1128
32K554,All City Leadership Secondary School,High School,,N/A,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,N/A,Elvis Estevez,146,0.034,0.144,0.055,0.764,0.966,0.014,2.81,2.61,0.021,0.151,0.815,0.007,0.007,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,11,false,1267
32K556,Bushwick Leaders High School for Academic Excellence,High School,,N/A,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Catherine Reilly,362,0.16,0.215,0.099,0.921,0.983,0.075,2.16,2.05,0.011,0.196,0.787,0.006,0,,N/A,N/A,N/A,N/A,N/A,Priority,0.98,10,false,1129
84K359,The Uft Charter School,High School,,N/A,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,Michelle Bodden-White/Shep Brown,272,0.007,0.092,0.022,0.812,0.974,0.04,2.22,2.08,0.022,0.768,0.206,0,0.004,,N/A,N/A,N/A,N/A,N/A,Local Assistance Plan,,,true,1231
84K473,Williamsburg Charter High School,High School,,N/A,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Kathleen Gaffney,969,0.05,0.171,0.043,0.788,0.979,0.061,2.36,2.25,0.003,0.334,0.641,0.014,0.007,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,1189
84K693,Northside Charter High School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Reshma Baig,383,0.063,0.196,0.057,0.721,0.903,0.089,2.35,2.24,0.018,0.298,0.606,0.052,0.026,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,1184
84K707,Brooklyn Prospect Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Lanolia Omowanile/Kim Raccio,218,0.032,0.271,0.023,0.279,0.624,0.018,2.81,2.57,0.037,0.243,0.372,0.307,0.041,,N/A,N/A,N/A,N/A,N/A,Reward,,,false,
84K730,Summit Academy Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Natasha Campbell,123,0.033,0.203,0.033,0.713,0.967,0.041,2.36,2.47,0,0.577,0.382,0.016,0.024,,N/A,N/A,N/A,N/A,N/A,Focus Charter,,,true,
84K733,"Math, Engineering, and Science Academy Charter High School",High School,,N/A,N/A,N/A,N/A,N/A,N/A,Arthur Samuels,131,0.237,0.168,0.092,0.863,0.939,0.053,2.2,2.13,0.008,0.221,0.718,0.015,0.038,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84K738,New Visions Charter High School for Advanced Math and Science III,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Nissi Jonathan,128,0.039,0.125,0.055,0.797,0.93,0.008,2.42,2.26,0.031,0.844,0.078,0.031,0.016,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84K739,New Visions Charter High School for the Humanities III,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Ivan Cohen,120,0.033,0.2,0.067,0.725,0.95,0.033,2.31,2.15,0.025,0.858,0.092,0.008,0.017,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84K744,Coney Island Preparatory Public Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Jacob Mnookin,89,0,0.191,0.011,0.743,0.82,0.011,2.85,2.84,0.079,0.472,0.348,0.09,0.011,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84K888,Achievement First HS,High School,,N/A,Meeting Target,Approaching Target,Meeting Target,Meeting Target,N/A,Paul Adler,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,false,1421
84K979,Uncommon Charter HS 2,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Jesse Corburn,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,false,
84K989,Achievement First University Prep,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Claire Shin,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,false,
84K999,Uncommon Charter HS,High School,,N/A,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,N/A,Maya Roth,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,false,
84M279,The Opportunity Charter School,High School,,N/A,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Allison Mutzel,247,0.093,0.543,0.231,0.79,0.98,0.113,2.03,1.97,0.008,0.696,0.283,0.012,0,,N/A,N/A,N/A,N/A,N/A,Focus Charter,,,true,1069
84M284,Harlem Children's Zone Promise Academy 1 Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Tonya White/Shakira Petit,119,0.025,0.143,0,0.749,1,0.008,2.57,2.56,0,0.899,0.101,0,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,
84M341,Harlem Children's Zone Promise Academy II Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Kathleen Fernald/Sheryl Ragland,35,0.029,0.086,0.029,0.749,1,0.029,2.54,2.43,0,0.943,0.057,0,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84M350,Democracy Prep Charter School,High School,,N/A,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,N/A,Tanya Nunez/Ajaka Roth,375,0.016,0.173,0.011,0.571,0.968,0.075,2.62,2.67,0.008,0.699,0.267,0.005,0.021,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,1515
84M353,New Heights Academy Charter School,High School,,N/A,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Robert Parkes/Chris Barfield,347,0.127,0.124,0.003,0.797,1,0.026,2.29,2.39,0,0.098,0.902,0,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,
